iati_id,iati_orga_id,orga_abbreviation,client,orga_full_name
DE-1-201930650-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-201930668-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-201930676-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-201930726-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-201930742-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-201930817-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-201931021-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-201931146-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-201931161-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-201931179-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-201931203-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-201931245-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-201931252-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-201931328-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-201931377-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-201931393-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
DE-1-201931401-0,DE-1,bmz,BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
